NAME	                    PURPOSE	                                  COST (USD)	QTY	TOTAL(USD)	         LINK	           DISTRIBUTOR
                        
Soldering Iron          	To attach header pins, connect wires,       $17.00 	     1	  $17.00    https://amzn.in/d/0ba3gI3V	  Amazon
                            secure power supply connections, 
                            and to create durable joints		

M3 Heatset inserts	        Creates Durable Mounting points,            $1.00	     1	  $1.00	     https://amzn.in/d/06zhzO2J	  Amazon
                            securely attaches hardwares, 
                            improves structural integrity	

keyboard switches	        improves efficiency, navigates,             $3.00	     1    $3.00	     https://amzn.in/d/09pCamWd	  Amazon
                            and to control audio playback 
                            directly from the keyboard	

ST7735 1.8" TFT display	    Displays Album Art, Shows Song Metadata, 	$5.50	     1	  $5.50	     https://amzn.in/d/07s4DdxW   Amazon
                            visualizes player state, compact ui 

esp 32 C3 mini Board	    connecting to the internet,                 $5.00	     1	  $5.00	     https://amzn.in/d/02NE9DEa   Amazon
                            fetching song data, and driving the display	
                                                                                 
                                                                                 Total Estimated Cost (USD):
                                                                                                            $31.50
